ar,fasteignir,pop
1900,83,47040
1901,32,46753
1902,79,46897
1903,113,47339
1904,107,47778
1905,120,48117
1906,190,48349
1907,116,48886
1908,111,49465
1909,54,49869
1910,99,50694
1911,38,51324
1912,80,51817
1913,72,52219
1914,71,53083
1915,76,53816
1916,50,54450
1917,32,54975
1918,53,55903
1919,123,56083
1920,290,56663
1921,177,57557
1922,218,57994
1923,218,58880
1924,191,59705
1925,266,60346
1926,407,61354
1927,327,62352
1928,447,63501
1929,352,64572
1930,619,65623
1931,349,67258
1932,323,68009
1933,308,69213
1934,450,70674
1935,415,71746
1936,457,72810
1937,394,73682
1938,406,74261
1939,348,75547
1940,367,77014
1941,237,78306
1942,769,79114
1943,489,80293
1944,424,81546
1945,704,82764
1946,1206,84471
1947,1433,86022
1948,1004,88002
1949,864,89575
1950,891,91081
1951,665,92800
1952,658,93558
1953,916,94430
1954,917,96090
1955,1171,97758
1956,1598,99121
1957,1526,100103
1958,1425,101833
1959,1356,103017
1960,1941,104455
1961,1608,106051
1962,942,107955
1963,1461,109683
1964,1343,111622
1965,1791,113679
1966,1492,115956
1967,1951,118350
1968,2066,120695
1969,1518,123076
1970,1397,124686
1971,1535,126042
1972,1853,128538
1973,2786,131501
1974,2339,134146
1975,1651,137294
1976,2168,140293
1977,1659,142700
1978,3056,145225
1979,2510,147949
1980,2064,150372
1981,1393,152947
1982,1548,155992
1983,1736,159344
1984,1804,162262
1985,1300,164911
1986,1041,167084
1987,1286,169275
1988,1624,172322
1989,1860,175590
1990,1700,177296
1991,1530,179464
1992,1895,182952
1993,1307,184871
1994,1565,187075
1995,1256,188888
1996,1301,189915
1997,1102,191762
1998,1148,194569
1999,1274,198053
2000,1810,201194
2001,1757,205199
2002,1832,208389
2003,2170,210314
2004,2764,212028
2005,2352,214642
2006,3606,220441
2007,3154,228203
2008,2635,235271
2009,594,238587
2010,745,236948
2011,373,231984
2012,351,233856
2013,691,236524
2014,1073,240157
2015,941,243464
2016,1615,246949
2017,1751,253159
2018,2274,262213
2019,3058,269166
2020,3124,273190
2021,2610,276339
2022,2624,281835
2023,3696,291061
2024,2633,298939
