country,year,population_adult
Belgium,1960,6561443
Belgium,1961,6544754
Belgium,1962,6495535
Belgium,1963,6518609
Belgium,1964,6554663
Belgium,1965,6607645
Belgium,1966,6659735
Belgium,1967,6704159
Belgium,1968,6746729
Belgium,1969,6770628
Belgium,1970,6797221
Belgium,1971,6790646
Belgium,1972,6833597
Belgium,1973,6873273
Belgium,1974,6916400
Belgium,1975,6971083
Belgium,1976,7024788
Belgium,1977,7069865
Belgium,1978,7121388
Belgium,1979,7167190
Belgium,1980,7215882
Belgium,1981,7260719
Belgium,1982,7279032
Belgium,1983,7328371
Belgium,1984,7364547
Belgium,1985,7418032
Belgium,1986,7456420
Belgium,1987,7490683
Belgium,1988,7517501
Belgium,1989,7581055
Belgium,1990,7618016
Belgium,1991,7667308
Belgium,1992,7706184
Belgium,1993,7751283
Belgium,1994,7782921
Belgium,1995,7811236
Belgium,1996,7829205
Belgium,1997,7858521
Belgium,1998,7885192
Belgium,1999,7913300
Belgium,2000,7945536
Belgium,2001,7977497
Belgium,2002,8023932
Belgium,2003,8069238
Belgium,2004,8108233
Belgium,2005,8151157
Belgium,2006,8206261
Belgium,2007,8267816
Belgium,2008,8341624
Belgium,2009,8413456
Belgium,2010,8489575
Belgium,2011,8620033
Belgium,2012,8687300
Belgium,2013,8741440
Belgium,2014,8776986
Belgium,2015,8823424
Belgium,2016,8882609
Belgium,2017,8918620
Belgium,2018,8960822
Belgium,2019,9011391
Belgium,2020,9072966
Belgium,2021,9105466
Belgium,2022,9158963
Belgium,2023,9259964
Denmark,1960,3098716
Denmark,1961,3120077
Denmark,1962,3155628
Denmark,1963,3193458
Denmark,1964,3235076
Denmark,1965,3280391
Denmark,1966,3321426
Denmark,1967,3361592
Denmark,1968,3397576
Denmark,1969,3425478
Denmark,1970,3460593
Denmark,1971,3505328
Denmark,1972,3529283
Denmark,1973,3560770
Denmark,1974,3590143
Denmark,1975,3613126
Denmark,1976,3629373
Denmark,1977,3651199
Denmark,1978,3677493
Denmark,1979,3700998
Denmark,1980,3724869
Denmark,1981,3743970
Denmark,1982,3763027
Denmark,1983,3788889
Denmark,1984,3815629
Denmark,1985,3846208
Denmark,1986,3882734
Denmark,1987,3913246
Denmark,1988,3932980
Denmark,1989,3945171
Denmark,1990,3959271
Denmark,1991,3979405
Denmark,1992,4002665
Denmark,1993,4022009
Denmark,1994,4039761
Denmark,1995,4059190
Denmark,1996,4081933
Denmark,1997,4096345
Denmark,1998,4109228
Denmark,1999,4119830
Denmark,2000,4127363
